blk,plant_mat,area_ha,no_of_palms,mth_of_plant,syp1_ha,syp1_prop,syp2_ha,syp2_prop,syp3_ha,syp3_prop,syp4_ha,syp4_prop,syp5_ha,syp5_prop,age,density
A07,DAMI,13.1,1825,1999-12-01,4.3,0.32824427480916,4.5,0.343511450381679,0.0,0.0,4.3,0.32824427480916,0.0,0.0,250,139
A08,DAMI,21.7,2911,1999-03-01,10.4,0.47926267281106,7.7,0.354838709677419,0.0,0.0,3.6,0.165898617511521,0.0,0.0,259,134
A09,DAMI,21.6,2927,1998-11-01,21.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,135
A10,DAMI,22.3,2940,1999-03-01,22.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,131
A11,DAMI,22.2,2878,1998-11-01,22.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,129
A12,DAMI,21.6,2900,1998-12-01,21.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,134
A13,DAMI,21.5,2723,1998-12-01,21.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,126
A14,DAMI,21.4,2785,1998-11-01,21.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,130
B08,DAMI,11.0,1561,1999-11-01,9.6,0.872727272727273,0.0,0.0,0.0,0.0,1.4,0.127272727272727,0.0,0.0,251,141
B09,DAMI,19.3,2944,2000-07-01,16.9,0.875647668393782,0.0,0.0,0.0,0.0,2.4,0.124352331606218,0.0,0.0,243,152
B10,DAMI,31.8,4329,1999-03-01,31.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,136
B11,DAMI,31.2,4109,1999-02-01,31.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,131
B12,DAMI,30.4,3950,1999-01-01,30.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,129
B13,DAMI,31.8,4298,1998-11-01,31.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,135
B14,DAMI,31.9,4222,1998-11-01,31.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,132
