date,blk,rain,crop
2011-04-30,A07,245.9,25.312310000000004
2011-05-31,A07,94.75,35.1852
2011-06-30,A07,68.0,29.4359
2011-07-31,A07,121.0,37.00935
2011-08-31,A07,5.4,37.07224
2011-09-30,A07,119.6,34.57142
2011-10-31,A07,362.2,38.07445000000001
2011-11-30,A07,248.3,41.11845
2011-12-31,A07,276.6,30.256359999999997
2012-01-31,A07,152.0,39.743759999999995
2012-02-29,A07,244.0,32.821459999999995
2012-03-31,A07,205.0,38.09135
2012-04-30,A07,295.0,29.56457
2012-05-31,A07,102.0,35.19207
2012-06-30,A07,113.5,38.59874
2012-07-31,A07,182.5,30.33313
2012-08-31,A07,159.0,47.66544
2012-09-30,A07,64.0,28.253859999999996
2012-10-31,A07,335.5,17.26783
2012-11-30,A07,351.0,62.57032999999999
2012-12-31,A07,285.5,54.55151000000001
2013-01-31,A07,180.0,40.696659999999994
2013-02-28,A07,164.5,34.34083
2013-03-31,A07,332.5,24.20068
2013-04-30,A07,164.0,28.77785
2013-05-31,A07,270.5,36.942440000000005
2013-06-30,A07,71.0,27.957890000000003
2013-07-31,A07,371.0,36.399440000000006
2013-08-31,A07,120.5,19.08179
2013-09-30,A07,256.5,17.424580000000002
2013-10-31,A07,131.5,20.130029999999998
2013-11-30,A07,287.5,19.12158
2013-12-31,A07,514.0,33.22883
2014-01-31,A07,138.5,32.52087
2014-02-28,A07,195.5,34.6161
2014-03-31,A07,314.5,52.736880000000006
2014-04-30,A07,285.5,45.209379999999996
2014-05-31,A07,400.5,26.753759999999996
2014-06-30,A07,140.6,32.01662
2014-07-31,A07,90.5,40.11101
2014-08-31,A07,77.0,38.68003
2014-09-30,A07,65.5,17.038120000000003
2014-10-31,A07,47.0,23.85426
2014-11-30,A07,205.0,27.115540000000003
2014-12-31,A07,266.5,37.8209
2015-01-31,A07,471.0,34.929880000000004
2015-02-28,A07,83.75,29.121620000000004
2015-03-31,A07,194.0,31.52858
2015-04-30,A07,224.5,20.37858
2015-05-31,A07,116.5,28.676630000000007
2015-06-30,A07,122.0,37.15575
2015-07-31,A07,22.5,20.417579999999997
2015-08-31,A07,8.0,17.738960000000002
2015-09-30,A07,0.0,28.59252
2015-10-31,A07,115.0,40.00476000000001
2015-11-30,A07,306.5,29.80467
2015-12-31,A07,305.0,24.70942
2016-01-31,A07,363.75,29.0635
2016-02-29,A07,166.0,23.05045
2016-03-31,A07,399.5,23.314940000000004
2016-04-30,A07,297.5,21.91535
2016-05-31,A07,275.5,20.96189
2016-06-30,A07,80.5,22.16726
2016-07-31,A07,123.0,15.5596
2016-08-31,A07,108.0,25.90566
2016-09-30,A07,215.0,39.465540000000004
2016-10-31,A07,181.0,31.606440000000006
2016-11-30,A07,600.0,45.73808
2016-12-31,A07,207.0,32.759640000000005
2017-01-31,A07,267.5,11.55867
2017-02-28,A07,292.0,16.12742
2017-03-31,A07,297.0,18.80751
2017-04-30,A07,205.0,41.9026
2017-05-31,A07,131.0,42.40905
2017-06-30,A07,189.5,19.04547
2017-07-31,A07,193.5,55.33294
2017-08-31,A07,162.0,25.0986
2017-09-30,A07,294.5,46.618970000000004
2017-10-31,A07,275.0,15.44716
2017-11-30,A07,272.0,12.003069999999996
2017-12-31,A07,261.5,8.55157
2018-01-31,A07,219.5,18.68754
2018-02-28,A07,221.0,16.636010000000002
2018-03-31,A07,275.0,27.83875
2018-04-30,A07,349.5,36.94295
2018-05-31,A07,306.5,26.01849
2018-06-30,A07,160.5,15.50504
2018-07-31,A07,80.0,41.35615999999999
2018-08-31,A07,34.0,76.2426
2018-09-30,A07,162.5,56.69811
2018-10-31,A07,218.5,29.664710000000003
2018-11-30,A07,484.0,23.44278
2018-12-31,A07,559.0,19.77526
2019-01-31,A07,210.5,34.06568
2019-02-28,A07,509.0,14.637220000000001
2019-03-31,A07,122.5,23.17501
2019-04-30,A07,421.5,21.527079999999998
2019-05-31,A07,173.0,19.35849
2019-06-30,A07,188.5,19.14715
2019-07-31,A07,11.4,37.70498
2019-08-31,A07,38.0,33.753930000000004
2019-09-30,A07,4.5,25.42235
2019-10-31,A07,228.2,31.14645
2019-11-30,A07,242.1,37.035140000000006
2019-12-31,A07,222.3,26.663540000000005
2020-01-31,A07,372.9,23.86408
2020-02-29,A07,256.1,20.586640000000006
2020-03-31,A07,248.0,22.97227
2020-04-30,A07,599.0,35.60046999999999
2020-05-31,A07,227.5,29.21472
2011-04-30,A08,245.9,37.063590000000005
2011-05-31,A08,94.75,48.62825
2011-06-30,A08,68.0,38.42755
2011-07-31,A08,121.0,47.05679000000001
2011-08-31,A08,5.4,42.15163
2011-09-30,A08,119.6,52.64626
2011-10-31,A08,362.2,63.92999
2011-11-30,A08,248.3,54.95926
2011-12-31,A08,276.6,36.61824
2012-01-31,A08,152.0,49.80474
2012-02-29,A08,244.0,48.22243
2012-03-31,A08,205.0,46.23691
2012-04-30,A08,295.0,39.42184
2012-05-31,A08,102.0,56.31957
2012-06-30,A08,113.5,47.366859999999996
